version,question,expected_type,answer,answer_ok,notes
v2,How many orders are there in total?,sql,"There are 99,441 orders in total.",yes,SQL is the correct route for this database count question; the response gives a clear numeric result.
v2,Which 5 product categories have the highest sales volume?,sql,"1) beleza_saude, 2) relogios_presentes, 3) cama_mesa_banho, 4) esporte_lazer, 5) informatica_acessorios.",yes,"SQL is the appropriate route for top-N category ranking from transactional tables; the answer returns five ranked categories, though it does not include numeric sales volumes."
v2,What is the average payment value per order?,sql,The average payment value per order is approximately R$ 172.73.,yes,SQL is the correct route for computing an aggregate metric from payment/order tables; the response provides a clear numeric average with currency context.
v2,Which states have the largest number of customers?,sql,"SP, RJ, MG, RS, PR, SC, BA, DF, ES, GO.",yes,"SQL is the correct route for customer distribution by state; the answer lists major states with highest customer counts, but it does not include exact counts."
v2,What are the top 5 sellers by number of orders?,sql,"1) 6560211a19b47992c3666cc44a7e94c0, 2) 4a3ca9315b744ce9f8e9374361493884, 3) 1f50f920176fa81dab994f9023523100, 4) cc419e0650a3c5ba77189a1882b7556a, 5) da8622b14eb17ae2831f4ac5b9dab84a.",yes,"SQL is the appropriate route for ranking sellers by order count; the answer returns five seller IDs in ranked order, though exact order counts are not provided."
v2,What do customers complain about most in reviews?,rag,"Customers most commonly complain about dissatisfaction with product descriptions, lack of customer attention/respect, and damaged or poorly packed delivery packaging.",yes,RAG-type question; response is on-topic and provides usable complaint themes.
v2,How do customers feel about delivery delays?,rag,"Customers generally express dissatisfaction about delivery delays, with repeated mentions of delayed delivery in reviews.",partially,"Correct RAG direction and sentiment, but the response is generic and lacks richer detail or clearer supporting context."
v2,What are the most common negative sentiments in customer reviews?,rag,"Common negative sentiments include frustration about out-of-stock items, disappointment with first-purchase experience, and frustration when delivered products differ from what was expected.",partially,"RAG direction is correct and the answer provides relevant negative themes, but wording is somewhat awkward and the output lacks stronger clarity."
v2,Do customers generally mention product quality positively or negatively?,rag,Customer sentiment on product quality is mixed: some reviews are negative ('quality leaves something to be desired') while others are positive ('excellent product').,yes,"Correct RAG type; the answer is clear, balanced, and directly addresses the question."
v2,What are the most common reasons customers leave negative reviews?,rag,Common reasons include lack of customer attention/respect and lack of commitment in service.,partially,"Correct RAG direction and on-topic, but the reasons are repetitive and not very specific."
v2,I have a budget of 100. What products would you recommend based on both price and reviews?,hybrid,"Suggested options were Construction Tools ($0.85, 5/5), Beauty and Health ($2.20, 5/5), and Stationery ($2.29, 5/5), based on positive review signals.",partially,"Hybrid type is correct (price + review quality), but recommendations are too generic and not very natural as actionable shopping advice."
v2,Which affordable product categories under 50 have better customer feedback?,hybrid,"Categories mentioned as affordable (under 50) with better feedback: moveis_quarto, cine_foto, and flores.",yes,"Hybrid routing is appropriate (price constraint + review quality), and the answer is on-topic and usable."
v2,Which product categories under 100 receive the best customer reviews?,hybrid,The response could not identify exact categories under 100 with the best reviews; it only provided generic review phrases and a broad category list.,no,"Hybrid type is correct (price filter + review quality), but the model did not answer the core question."
v2,What products priced below 80 are most positively mentioned in customer reviews?,hybrid,"It returned multiple products under 80 with strong positive signals, including IDs like ffd63ee42a5c8cc5a15a1c8e2aa50011 (77.0), be55ae76be8824525f40695d49a5a7b5 (76.0), and 9ba8f142d5750b47282d95c0dad1ef57 (79.99).",yes,"Hybrid routing is correct (price constraint + review positivity), and the response provides concrete product-level outputs with prices."
v2,"Among products under 50, which ones seem to have the highest customer satisfaction?",hybrid,"It recommends under-50 options with very high satisfaction, including categories like cama_mesa_banho, informatica_acessorios, esporte_lazer, eletronicos, telefonia, beleza_saude, brinquedos, moveis_decoracao, utilidades_domesticas, and ferramentas_jardim.",partially,"Hybrid routing is correct, but the output is category-heavy and repetitive, so it is usable but not strongly differentiated."
v2,"Hello, what can you help me with?",llm,The assistant says it can help with product/order/customer/item/seller/payment/review questions and suggests support options for out-of-scope requests.,yes,Correct LLM/general-intent routing; response is clear and usable as a capability overview.
v2,Can you explain what machine learning is in simple terms?,llm,Machine learning is when computers learn patterns from data so they can improve at tasks without being explicitly programmed step by step.,yes,Correct LLM routing for a general knowledge question; explanation is simple and accurate.
v2,Tell me a short joke.,llm,"I'm here to assist you with questions related to our company products and services. However, I can't provide jokes. If you have a business-related question or need assistance with a specific issue, feel free to ask! Alternatively, if your question is abstract or hard to understand, I recommend reaching out to our Live Support for more personalized help.",yes,Correct fallback behavior for an out-of-scope request.
v2,Can you summarize the customer complaints you just mentioned in one sentence?,memory_followup,"The customer complaints indicate a lack of commitment to customer service, with poor support and no available complaint channels.",yes,Memory worked correctly in a short two-turn context.
v2,Can you repeat the main complaints in one sentence?,memory_followup,"I apologize, but I cannot provide a clear answer based on the available information. Please try another question.",no,Failed in a long multi-turn conversation; the follow-up reference was ambiguous and memory handling became less stable.
